size,time(ms)
49800000,7.15113
49900000,7.17835
50000000,7.10802
50100000,5.84016
50200000,7.25507
50300000,7.29389
50400000,7.24526
50500000,7.2467
50600000,5.88578
50700000,7.27969
50800000,7.23401
50900000,7.29737
51000000,5.85213
51100000,7.34923
51200000,7.35571
51300000,7.32066
51400000,7.35605
51500000,6.05592
51600000,7.35525
51700000,7.40048
51800000,7.4081
51900000,6.02072
52000000,7.3987
52100000,7.50781
52200000,7.52012
52300000,6.04684
52400000,7.52911
52500000,7.52825
52600000,7.53208
52700000,7.56852
52800000,6.16979
52900000,7.66701
53000000,7.53996
53100000,7.63532
53200000,6.23231
53300000,7.78452
53400000,7.66164
53500000,7.6537
53600000,6.5926
53700000,7.88047
53800000,7.77395
53900000,7.72198
54000000,6.3159
54100000,7.70956
54200000,7.71353
54300000,7.80619
54400000,7.7413
54500000,6.31956
54600000,7.81138
54700000,7.78791
54800000,7.80968
54900000,6.39497
55000000,7.83018
55100000,7.85227
55200000,7.89105
55300000,6.49988
55400000,7.9611
55500000,7.93311
55600000,7.96197
55700000,6.52974
55800000,7.96902
55900000,7.9784
56000000,7.97855
56100000,6.62094
56200000,8.14037
56300000,8.07667
56400000,8.06008
56500000,6.56297
56600000,8.05458
56700000,8.13179
56800000,8.09192
56900000,6.68188
57000000,8.18602
57100000,8.20991
57200000,8.26151
57300000,6.69183
57400000,8.28808
57500000,8.24128
57600000,8.25261
57700000,6.81571
57800000,8.28374
57900000,8.24346
58000000,8.27545
58100000,6.84098
58200000,8.27273
58300000,8.39834
58400000,6.87805
58500000,8.33748
58600000,8.41885
58700000,8.37496
58800000,7.00187
58900000,8.40976
59000000,8.47552
59100000,8.45888
59200000,7.03131
59300000,8.46527
59400000,8.50931
59500000,8.66793
59600000,7.06004
59700000,8.49348
59800000,8.61333
59900000,8.5661
60000000,7.11444
60100000,8.73682
60200000,8.68498
60300000,7.1177
60400000,8.66575
60500000,8.63113
60600000,8.63938
60700000,7.24669
60800000,8.68337
60900000,8.72902
61000000,8.76044
61100000,7.29499
61200000,8.70507
61300000,8.81626
61400000,8.84125
61500000,7.2964
61600000,8.8459
61700000,8.85937
61800000,7.30006
61900000,8.86039
62000000,8.85047
62100000,8.8768
62200000,7.41752
62300000,8.88209
62400000,8.94766
62500000,8.93293
62600000,7.49283
62700000,8.99525
62800000,9.06483
62900000,7.5171
63000000,9.05145
63100000,9.03854
63200000,9.00622
63300000,7.60261
63400000,9.14576
63500000,9.15197
63600000,7.62885
63700000,9.18505
63800000,9.16087
63900000,9.13761
64000000,7.70495
64100000,9.15614
64200000,9.24149
64300000,7.81564
64400000,9.21551
64500000,9.2368
64600000,9.26858
64700000,7.80878
64800000,9.36909
64900000,9.33266
65000000,7.76982
65100000,9.36434
65200000,9.34791
65300000,9.37044
65400000,7.78204
65500000,9.4104
65600000,9.43376
65700000,7.91256
65800000,9.36979
65900000,9.47138
66000000,9.49686
66100000,8.01025
66200000,9.48625
66300000,9.50715
66400000,8.01669
66500000,9.47963
66600000,9.53342
66700000,9.56079
66800000,8.10711
66900000,9.69578
67000000,9.6017
67100000,8.13958
67200000,9.62392
67300000,9.66538
67400000,8.17966
67500000,9.66267
67600000,9.69158
67700000,9.69773
67800000,8.22954
67900000,9.76161
68000000,9.72907
68100000,8.23922
68200000,9.77536
68300000,9.80772
68400000,8.35288
68500000,9.854
68600000,9.86843
68700000,8.35657
68800000,9.86507
68900000,9.89868
69000000,9.89087
69100000,8.42779
69200000,9.88067
69300000,9.90305
69400000,8.55973
69500000,10.002
69600000,9.92918
69700000,8.51072
69800000,10.0608
69900000,10.0311
70000000,8.51147
70100000,10.1017
70200000,10.0804
70300000,10.0559
70400000,8.61488
70500000,10.0723
70600000,10.0915
70700000,8.67693
70800000,10.1419
70900000,10.1209
71000000,8.7163
71100000,10.2597
71200000,10.2164
71300000,8.67304
71400000,10.1596
71500000,10.3282
71600000,8.67367
71700000,10.3041
71800000,10.2627
71900000,10.3271
72000000,8.80092
72100000,10.3567
72200000,10.3188
72300000,8.87208
72400000,10.4241
72500000,10.4956
72600000,8.90331
72700000,10.5001
72800000,10.4279
72900000,8.93727
73000000,10.4586
73100000,10.5697
73200000,8.86865
73300000,10.5091
73400000,10.5732
73500000,9.00448
73600000,10.5388
73700000,10.5369
73800000,9.09505
73900000,10.589
74000000,10.6187
74100000,9.11741
74200000,10.6182
74300000,10.671
74400000,9.138
74500000,10.6836
74600000,10.7209
74700000,9.16714
74800000,10.6935
74900000,10.7957
75000000,9.22948
75100000,10.7615
75200000,10.7606
75300000,9.29424
75400000,10.8067
75500000,10.9108
75600000,9.37815
75700000,10.8361
75800000,10.828
75900000,9.25707
76000000,10.9486
76100000,10.9797
76200000,9.40544
76300000,10.9358
76400000,10.9262
76500000,9.49188
76600000,11.0069
76700000,11.0215
76800000,9.48182
76900000,10.9896
77000000,11.0315
77100000,9.57409
77200000,11.1614
77300000,11.0353
77400000,9.43717
77500000,10.9281
77600000,10.9674
77700000,9.41758
77800000,10.9449
77900000,10.9578
78000000,9.50211
78100000,11.0202
78200000,10.9826
78300000,9.45953
78400000,11.0716
78500000,11.0905
78600000,9.47696
78700000,11.0566
78800000,11.1276
78900000,9.55867
79000000,11.1669
